brand_name,generic_name,spend_2023,unit_cost_2023,claims_2023,dollar_growth,cluster
Revlimid,Lenalidomide,3859804788.6,878.21219633,216207,-813290263.0000005,0
Imbruvica,Ibrutinib,2371893291.7,486.62507369,152032,-68075699.4000001,0
Symbicort,Budesonide/Formoterol Fumarate,2004295917.7,38.982297869,3728966,-11606184.399999857,0
Humalog Kwikpen U-100,Insulin Lispro,1208385334.2,35.796790619,1363952,-9670945.200000048,0
Victoza 3-Pak,Liraglutide,1004635145.2,126.95461794,574218,-522322685.20000005,0
Epclusa,Sofosbuvir/Velpatasvir,877398114.7,928.11386712,33500,-138102710.0,0
Advair Diskus,Fluticasone Propion/Salmeterol,868795720.37,7.0272583152,1510759,-580404092.83,0
Spiriva Handihaler,Tiotropium Bromide,782927124.78,17.734819536,946781,-492558182.81999993,0
Lantus,"Insulin Glargine,Hum.Rec.Anlog",735735411.45,29.549084133,1178123,-423065443.04999995,0
Levothyroxine Sodium*,Levothyroxine Sodium,653594902.03,0.2460830508,41684284,-48865182.84000003,0
Humira(Cf) Pen,Adalimumab,4419828188.3,3750.063537,478808,3214328873.5,1
Stelara*,Ustekinumab,2987778599.9,26818.031631,117068,2191776235.71,1
Enbrel Sureclick,Etanercept,2054858498.8,1812.3623502,263299,763486542.5,1
Ibrance,Palbociclib,2020903604.2,753.01593912,128974,194787158.60000014,1
Jakafi,Ruxolitinib Phosphate,1940765068.5,297.88441901,116245,815907033.9000001,1
Invega Sustenna,Paliperidone Palmitate,1821418393.2,2343.5289848,612670,571563504.9000001,1
Pomalyst,Pomalidomide,1709288465.2,1088.7598989,78733,517084627.29999995,1
Lenalidomide,Lenalidomide,1681292156.6,682.29396894,121779,1681292156.6,1
Vyndamax,Tafamidis,1349659508.2,735.4695895,52375,1334722311.24,1
Calquence,Acalabrutinib Maleate,1286819830.1,255.95620689,89978,1286819830.1,1
Apokyn,Apomorphine HCl,71778606.76,524.83553245,2318,-26063923.559999987,2
Calquence,Acalabrutinib,59763179.81,254.28543387,4265,-44172761.61,2
Xalkori,Crizotinib,52137022.84,374.19766976,2603,-14705533.419999994,2
Gilotrif,Afatinib Dimaleate,51441559.3,387.31522077,4430,-2612511.740000002,2
Rubraca,Rucaparib Camsylate,43036981.72,149.21179185,3079,-17201201.4,2
Rituxan,Rituximab,39322013.55,98.216790999,3158,-21997477.770000003,2
Nerlynx,Neratinib Maleate,36541269.41,122.5493313,1945,-4958346.8500000015,2
Zytiga,Abiraterone Acetate,33242471.65,145.79858074,3147,-727130705.15,2
Rydapt,Midostaurin,30688892.15,202.37725795,1405,-385069.05000000075,2
Afinitor,Everolimus,29755094.75,618.56869902,1577,-414814256.6,2
Eliquis,Apixaban,18273451967.0,9.7446967132,21195452,10968470732.5,3
Ozempic,Semaglutide,9194048435.1,355.90270351,6927972,8641646653.75,3
Jardiance,Empagliflozin,8839935063.3,20.317966064,8153238,7392316501.4,3
Trulicity,Dulaglutide,7363856224.3,483.20525328,5316020,5090979940.6,3
Xarelto,Rivaroxaban,6309246822.6,18.225776573,6654162,2232292919.6000004,3
Trelegy Ellipta,Fluticasone/Umeclidin/Vilanter,4455884009.7,11.179466384,5009961,3634452328.9799995,3
Farxiga,Dapagliflozin Propanediol,4342182307.3,19.547871688,4298827,3834068861.57,3
Januvia,Sitagliptin Phosphate,4090836820.7,18.88030265,4029094,555162508.3999996,3
Entresto,Sacubitril/Valsartan,3430441590.4,11.641913547,3200200,2618523907.4900002,3
Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",3157233281.8,30.278550695,4936965,661625636.3000002,3
